gameId,onBlueTeam,blueWins,blueWardsPlaced,blueWardKills,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsterKills,blueDragonKills,blueHeraldKills,blueTowerKills,blueTotalGold,blueAvgLvl,blueTotalExp,blueTotalMinionsKilled,blueGoldDiff,blueExpDiff,onRedTeam,redWins,redWardsPlaced,redWardKills,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsterKills,redDragonKills,redHeraldKills,redTowerKills,redTotalGold,redAvgLvl,redTotalExp,redTotalMinionsKilled,redGoldDiff,redExpDiff
3497707308,1,1,24,1,0,12,9,7,2,1,1,1,25393,9.2,28976,277,2484,2196,0,0,17,1,1,9,12,7,1,1,0,0,22909,8.8,26780,297,-2484,-2196
3496834626,1,0,21,3,1,6,17,5,1,1,0,0,22215,8.6,26101,284,-6939,-6521,0,1,23,3,0,17,6,16,1,0,1,2,29154,9.8,32622,310,6939,6521
3496819914,1,0,28,4,0,8,7,12,1,1,0,0,24464,9.0,28958,354,-445,-1064,0,1,23,9,1,7,8,6,1,0,1,0,24909,9.2,30022,359,445,1064
3496736461,0,0,18,3,0,5,5,4,1,0,1,0,21857,9.0,27285,289,-691,-390,1,1,19,2,1,5,5,9,2,2,0,0,22548,8.8,27675,338,691,390
3496771803,1,1,23,1,0,9,11,9,1,1,0,0,22769,8.8,26703,268,-4380,-3795,0,0,12,3,1,11,9,14,2,1,1,1,27149,9.4,30498,352,4380,3795
3494713448,0,0,19,5,0,6,11,7,1,0,1,0,21985,8.6,26093,300,-2863,-4908,1,1,21,2,1,11,6,8,2,2,0,1,24848,9.2,31001,289,2863,4908
3494680062,0,1,23,3,1,8,8,5,1,0,1,1,24464,9.2,28477,344,1840,467,1,0,20,2,0,8,8,5,2,2,0,0,22624,9.0,28010,316,-1840,-467
3494664689,0,0,17,6,0,4,7,8,1,1,0,0,21410,8.6,26916,270,-1860,-2062,1,1,24,5,1,7,4,8,1,1,0,0,23270,9.0,28978,336,1860,2062
3494599660,1,1,21,2,0,12,10,16,2,1,1,1,25785,8.6,26390,291,405,-1875,0,0,23,4,1,10,12,9,0,0,0,0,25380,9.2,28265,308,-405,1875
3494547113,1,1,20,3,1,12,5,10,1,1,0,0,25706,9.6,30726,348,4170,4149,0,0,17,2,0,5,12,7,2,1,1,0,21536,8.6,26577,267,-4170,-4149
3494502844,1,0,25,2,0,1,12,1,0,0,0,1,18892,8.6,24941,272,-8759,-3669,0,1,21,5,1,12,1,13,3,2,1,1,27651,8.8,28610,340,8759,3669
3494470270,1,0,28,7,1,12,13,19,0,0,0,0,22709,8.4,25228,225,-3246,-1272,0,1,21,8,0,13,12,17,2,2,0,1,25955,8.8,26500,291,3246,1272
3494463137,1,1,20,5,1,9,14,7,0,0,0,0,23552,9.0,27021,290,-3960,-3372,0,0,22,7,0,14,9,16,1,1,0,0,27512,9.4,30393,344,3960,3372
3494400507,1,1,23,8,1,15,6,18,1,1,0,0,25397,9.0,29590,278,2975,2880,0,0,21,2,0,6,15,9,0,0,0,0,22422,8.8,26710,302,-2975,-2880
3492557312,0,0,25,2,1,4,3,4,1,0,1,1,21242,8.6,25137,262,-34,-2290,1,1,25,6,0,3,4,5,1,1,0,0,21276,8.8,27427,332,34,2290
3492570109,1,1,29,0,1,4,0,7,3,2,1,0,22564,9.4,29729,349,2429,1695,0,0,15,3,0,0,4,0,0,0,0,0,20135,8.8,28034,315,-2429,-1695
3492462926,0,0,26,4,1,3,10,2,0,0,0,0,20858,8.6,26008,323,-2147,-2426,1,1,23,3,0,10,3,10,1,1,0,0,23005,9.2,28434,295,2147,2426
